1000 0.9 
------------------
9	0.1	24.8
19	0	-3.6
29	0	0
39	0.2	39.4
49	0	0
59	0	20
69	0.1	43
79	0	8
89	0	16
99	0.1	43.2
109	0	12
119	0.1	22.6
129	0	6.2
139	0.1	31.2
149	0	16
159	0	28.2
169	0	20
179	0.1	42
189	0.1	38
199	0	6.2
209	0	12
219	0	8.4
229	0.1	18.6
239	0.1	48.2
249	0.1	38.2
259	0.1	47.4
269	0.1	49.4
279	0.1	51.6
289	0.1	62.8
299	0.1	26.8
309	0.1	14.4
319	0.3	78.2
329	0.2	56.2
339	0.1	46.8
349	0.1	52.8
359	0.3	77
369	0.1	61
379	0.3	76
389	0.2	60.8
399	0.1	59.8
409	0.2	47
419	0.1	31
429	0.1	39
439	0	22.2
449	0.1	12
459	0.1	44.2
469	0.2	42.4
479	0.2	54.8
489	0.3	98.6
499	0.3	74.2
509	0.2	56
519	0.5	82.6
529	0.1	41.4
539	0.3	65.4
549	0	36.2
559	0.2	82.4
569	0.1	30.6
579	0.2	64.6
589	0.2	75
599	0.2	75.2
609	0.2	71.8
619	0.1	26.2
629	0	26
639	0.2	52.6
649	0.2	52.8
659	0.4	83.6
669	0	22
679	0.2	73.2
689	0.4	112
699	0.4	85.6
709	0.4	103.4
719	0.5	103.6
729	0.2	42.6
739	0.1	66.8
749	0.1	70.2
759	0.3	79
769	0.4	88
779	0.1	63.2
789	0.1	34.6
799	0.3	59
809	0.3	73.8
819	0.1	72.6
829	0.3	62.6
839	0.5	123.4
849	0.5	104.2
859	0.5	118.8
869	0.2	73.4
879	0.1	54
889	0.3	85.4
899	0.2	68
909	0.3	88.6
919	0.5	138.4
929	0.6	125.8
939	0.3	76.8
949	0.1	50.8
959	0.2	76
969	0.1	38
979	0.5	116.8
989	0.1	36.8
999	0.6	130.6
