3000 0.9 
------------------
9	0.1	7
19	0	8
29	0	28.2
39	0.1	23
49	0	-9.8
59	0	6
69	0.1	52.8
79	0	32
89	0	24
99	0	-6
109	0	10
119	0	4
129	0	16
139	0	0
149	0	18
159	0	40
169	0.1	60
179	0	2
189	0	-4
199	0	16.2
209	0	8
219	0	28.4
229	0.1	44.2
239	0.2	46.6
249	0	18
259	0.1	49.4
269	0.1	48
279	0	16.2
289	0	18
299	0.1	53.8
309	0.1	43.4
319	0	40.2
329	0.1	20.2
339	0	14
349	0.1	34
359	0	8
369	0.1	62.4
379	0	34.2
389	0	10
399	0	6.2
409	0	18
419	0	-10
429	0	28
439	0	12
449	0	20.2
459	0.1	52.6
469	0	28
479	0	30
489	0.1	54.4
499	0	26
509	0.1	64.2
519	0	44
529	0.2	61.2
539	0.1	27.6
549	0	30
559	0	6
569	0.1	58.6
579	0.1	44.2
589	0	30
599	0.1	52.2
609	0.1	22.2
619	0.1	28
629	0.1	24
639	0	12
649	0	16.2
659	0.1	62.4
669	0	20
679	0.2	30.2
689	0.3	88.8
699	0.2	58
709	0.1	76.8
719	0	34
729	0	-12
739	0	54
749	0.1	63.4
759	0	28
769	0	2.2
779	0.1	36
789	0	2.2
799	0.1	35.2
809	0	16
819	0.2	61
829	0	30
839	0	32.8
849	0.2	62.8
859	0.2	59.4
869	0.1	58.2
879	0.2	75.8
889	0	38.4
899	0.1	20.6
909	0	42
919	0.1	52
929	0.1	18.8
939	0.1	42
949	0.2	67.6
959	0	12
969	0.1	47.4
979	0	54.4
989	0	38
999	0.3	55
1009	0.2	55
1019	0.2	36.2
1029	0	24
1039	0.2	57
1049	0.1	42.2
1059	0.1	62.2
1069	0.1	39.6
1079	0.1	57
1089	0	14
1099	0.2	47.6
1109	0.1	49.4
1119	0	30.2
1129	0.3	63.4
1139	0.2	71.2
1149	0.1	36
1159	0.1	31.4
1169	0.2	62.8
1179	0.3	79.4
1189	0.2	65.2
1199	0.1	60.2
1209	0.1	28.8
1219	0.4	81
1229	0.2	55.6
1239	0.1	36.2
1249	0.3	63.8
1259	0.2	59.8
1269	0.3	82.2
1279	0.3	72.6
1289	0.3	82.8
1299	0.1	16
1309	0.2	58.6
1319	0.1	36.8
1329	0.1	82.6
1339	0.1	42
1349	0	60
1359	0.1	37.4
1369	0.1	70.2
1379	0.2	66.2
1389	0.2	55.6
1399	0.1	19.4
1409	0.3	76
1419	0.1	34.6
1429	0.2	81.4
1439	0.3	80.2
1449	0	54
1459	0.3	72
1469	0.4	68.2
1479	0.3	72.4
1489	0.2	54.8
1499	0.1	51.2
1509	0.1	47.6
1519	0.1	32
1529	0.2	56.4
1539	0.2	64
1549	0.3	87.2
1559	0.1	70.8
1569	0.2	68.2
1579	0.5	106.8
