1000 0.9 
------------------
9	0.1	12.2
19	0.1	23.4
29	0	-8
39	0	26
49	0.1	45.4
59	0.1	73.2
69	0.2	66.2
79	0.2	68.2
89	0.2	68.8
99	0.6	133.8
109	0.1	62.8
119	0.6	132.8
129	0.3	104.8
139	0.3	94.4
149	0.3	97.4
159	0.6	153.6
169	0.3	80.8
179	0.2	74.8
189	0.2	72
199	0.5	128.2
209	0.8	156.4
219	0.5	127.2
229	0.4	133
239	0.3	106.6
249	0.5	111.8
259	0.6	144.6
269	0.5	139
279	0.4	127.8
289	0.4	117.6
299	0.7	133.8
309	0.8	156.4
319	0.6	130.2
329	0.5	147.2
339	0.5	132
349	0.8	150.2
359	0.6	149.4
369	0.9	180
379	0.8	148
389	0.7	155.2
399	0.6	147
409	0.8	145.4
419	0.6	141.6
429	0.9	167.6
439	0.4	120.8
449	0.6	148.2
459	0.8	182.2
469	0.8	161.4
479	0.8	158.2
489	0.9	152.2
499	0.8	166.6
509	0.7	144
519	0.7	154
529	0.7	157.4
539	0.7	163
549	0.7	155.4
559	0.7	144.8
569	0.8	169
579	0.7	152.4
589	0.7	148.2
599	0.6	134
609	0.9	177
619	0.7	142.2
629	0.4	103.4
639	0.7	170.8
649	0.6	153
659	0.9	187.2
669	0.5	136.2
679	0.8	163
689	0.7	152.4
699	0.7	161.2
709	0.7	143.2
719	0.7	152.2
729	0.7	133.2
739	0.7	163.6
749	0.8	162.4
759	0.6	142.4
769	0.9	182.4
779	0.7	144.4
789	0.6	131.6
799	0.5	141.8
809	0.7	158
819	0.5	118.6
829	0.7	145.8
839	0.9	171.4
849	0.8	162.2
859	0.7	161.2
869	0.7	156.2
879	0.9	182.4
889	0.9	173.6
899	0.8	151.6
909	0.6	153.4
919	0.8	173.6
929	0.9	167.6
939	0.8	164
949	0.6	146.6
959	0.7	151.2
969	0.9	184
979	0.4	151.6
989	0.6	139
999	0.9	176
