3000 0.9 
------------------
9	0	-10
19	0	4.2
29	0	8
39	0	24
49	0	-5.8
59	0	-1.8
69	0	34.4
79	0	12
89	0	22.2
99	0	22
109	0	30
119	0	22.2
129	0.1	11
139	0.1	20.8
149	0.1	32.2
159	0.2	47.4
169	0	-14
179	0	24
189	0	4.4
199	0	4
209	0.1	48.8
219	0	30
229	0.1	22.8
239	0.1	40.8
249	0	22
259	0	-1.8
269	0	34
279	0.1	58.6
289	0	12
299	0	6.2
309	0.1	24
319	0.1	10.2
329	0	14.2
339	0.2	59
349	0	6
359	0	14
369	0.1	12.8
379	0	26.2
389	0	24
399	0	4
409	0	34
419	0	12
429	0.1	16.2
439	0	24
449	0	12
459	0.1	40
469	0.2	67.6
479	0.1	28.2
489	0.1	33.6
499	0	20.2
509	0.1	54.2
519	0.1	26.2
529	0	32
539	0.1	37.4
549	0	28
559	0	18.4
569	0	-10
579	0.1	28.2
589	0	-1.8
599	0	10
609	0.3	47
619	0.3	58.6
629	0	18
639	0	-6
649	0	22.4
659	0	10
669	0.2	81
679	0	-4
689	0.1	36.8
699	0	16.2
709	0	40.2
719	0.1	40
729	0	34.2
739	0.2	64.4
749	0	36.2
759	0.1	49.4
769	0	6
779	0	24
789	0	22
799	0	38
809	0.1	56.8
819	0.1	5.2
829	0.1	58
839	0.1	26.8
849	0.2	39.8
859	0.2	24.8
869	0.2	49.6
879	0.1	18.2
889	0.3	78.6
899	0.1	22.2
909	0	14.2
919	0	18
929	0	36
939	0	-1.6
949	0.1	64
959	0.3	75.8
969	0.1	40.2
979	0.1	40
989	0	10.2
999	0.2	59
1009	0.1	34.2
1019	0.2	53.2
1029	0.2	22.4
1039	0.1	28.2
1049	0.1	41.4
1059	0	42
1069	0.2	59.8
1079	0.1	48.4
1089	0.2	60.6
1099	0.1	26.6
1109	0.1	18.8
1119	0.1	32
1129	0.1	21.2
1139	0.2	41.6
1149	0	28.2
1159	0.1	39
1169	0.1	63.4
1179	0.1	34.2
1189	0.2	63
1199	0.1	65.4
1209	0	6
1219	0	46
1229	0.3	76.2
1239	0.3	72
1249	0	-4
1259	0.2	67.6
1269	0.1	50
1279	0.1	42.8
1289	0.2	62.6
1299	0	46
1309	0.2	60
1319	0.2	46.4
1329	0.1	52.8
1339	0.2	43.8
1349	0.1	4.2
1359	0	60
1369	0.2	65.4
1379	0.2	62.8
1389	0.1	24.2
1399	0.2	60
1409	0	30
1419	0.1	36.8
1429	0.2	43
1439	0	34
1449	0	80
1459	0.1	28.8
1469	0.2	59.2
1479	0.1	48.2
1489	0.1	31.4
1499	0	42.2
1509	0.1	43.4
1519	0.1	48.2
1529	0.1	43.4
1539	0.2	46.8
1549	0.1	41
1559	0.1	42.4
